morpheme;type;mode;sameSubject;posneg;tense;dialect;specificity;perSubject;numbSubject;perObject;numbObject;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;SpecificCondOnPrecMorph;sources
nak;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;nsp;2;s;;;nak natit;n n;n;;nak natit;nas nas;nas nas;;nak natit;nas nas;nas nas;;nak rak natit ratit;nas s nas s;nas s nas s nas s;;;M1 H2
nani;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;nsp;3;s;;;nani;n;n;;nani;nas;nas;;nani;nas;nas;;nani rani;nas s;nas s;;;M1 H2
nanuk;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;nsp;1;d;;;nanuk;n;n;;nanuk;nas;nas;;nanuk;nas;nas;;nanuk ranuk;nas s;nas s;;;M1 H2
nasik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;nsp;2;d;;;nasik natik;n n;n;;nasik natik;nas nas;nas nas;;nasik natik;nas nas;nas nas;;nasik rasik natik ratik;nas s nas s;nas s nas s nas s;;;M1 H2
natik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;nsp;3;d;;;natik;n;n;;natik;nas;nas;;natik;nas;nas;;natik ratik;nas s;nas s;;;M1 H2
nata;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;nsp;1;p;;;nata;n;n;;nata;nas;nas;;nata;nas;nas;;nata rata;nas s;nas s;;;M1 H2
nasi;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;nsp;2;p;;;nasi;n;n;;nasi;nas;nas;;nasi;nas;nas;;nasi rasi;nas s;nas s;;;M1 H2
natik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;nsp;3;p;;;natik;n;n;;natik;nas;nas;;natik;nas;nas;;natik ratik;nas s;nas s;;;M1 H2
tinnanga;tv;part;non;neg;;North Baffin, Cumberland Peninsula;nsp;1;s;;;tinnanga;n;n;;tinnanga tinnanga;s n;s n;;tinnanga;n;n;;tinnanga;n;n;;;M1 H2
tinnak;tv;part;non;neg;;North Baffin, Cumberland Peninsula;nsp;2;s;;;tinnak tinnatit;n n;n;;tinnak tinnak tinnatit tinnatit;s n s n;s n s n;;tinnak tinnatit;n n;n n;;tinnak tinnatit;n n;n n;;;M1 H2
tinnagu;tv;part;non;neg;;North Baffin, Cumberland Peninsula;nsp;3;s;;;tinnagu;n;n;;tinnagu tinnagu;s n;s n;;tinnagu;n;n;;tinnagu;n;n;;;M1 H2
tinnanuk;tv;part;non;neg;;North Baffin, Cumberland Peninsula;nsp;1;d;;;tinnanuk;n;n;;tinnanuk tinnanuk;s n;s n;;tinnanuk;n;n;;tinnanuk;n;n;;;M1 H2
tinnasik;tv;part;non;neg;;North Baffin, Cumberland Peninsula;nsp;2;d;;;tinnasik tinnatik;n n;n;;tinnasik tinnatik tinnasik tinnatik;s n s n;s n s n;;tinnasik tinnatik;n n;n n;;tinnasik tinnatik;n n;n n;;;M1 H2
tinnagik;tv;part;non;neg;;North Baffin, Cumberland Peninsula;nsp;3;d;;;tinnagik;n;n;;tinnagik tinnagik;s n;s n;;tinnagik;n;n;;tinnagik;n;n;;;M1 H2
