morpheme;type;mode;specificity;perSubject;numbSubject;perObject;numbObject;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;SpecificCondOnPrecMorph;sources
vaatik;tv;dec;sp;3;d;2;d;vaatik;n;n;;paatik;a;a;;paatik;n;n;;paatik qaatik;n son;n son;;;?
vaavuk;tv;dec;sp;1;d;3;d;vaavuk;n;n;;paavuk;a;a;;paavuk;n;n;;paavuk qaavuk;n son;n son;;;?
vaassik;tv;dec;sp;2;d;3;d;vaassik vaattik;n n;n;;paassik paattik;a a;a;;paassik paattik;n n;n;;paassik paattik qaassik qaattik;n n son son;n n son son;;;?
vaangik;tv;dec;sp;3;d;3;d;vaangik;n;n;;paangik;a;a;;paangik;n;n;;paangik qaangik;n son;n son;;;?
vaattigut;tv;dec;sp;2;d;1;p;vaattigut;n;n;;paattigut;a;a;;paattigut;n;n;;paattigut qaattigut;n son;n son;;;?
vaatigut;tv;dec;sp;3;d;1;p;vaatigut;n;n;;paatigut;a;a;;paatigut;n;n;;paatigut qaatigut;n son;n son;;;?
vassi;tv;dec;sp;1;d;2;p;vassi;n;n;;passi;a;a;;passi;n;n;;passi qassi;n son;n son;;;?
vaasi;tv;dec;sp;3;d;2;p;vaasi;n;n;;paasi;a;a;;paasi;n;n;;paasi qaasi;n son;n son;;;?
vavuk;tv;dec;sp;1;d;3;p;vavuk;n;n;;pavuk;a;a;;pavuk;n;n;;pavuk qavuk;n son;n son;;;?
vasik;tv;dec;sp;2;d;3;p;vasik vatik;n n;n;;pasik patik;a a;a;;pasik patik;n n;n;;pasik patik qasik qatik;n n son son;n n son son;;;?
vangik;tv;dec;sp;3;d;3;p;vangik;n;n;;pangik;a;a;;pangik;n;n;;pangik qangik;n son;n son;;;?
vassinga;tv;dec;sp;2;p;1;s;vassinga vapsinga vatsinga;n n n;n;;passinga papsinga patsinga;a a a;a;;passinga papsinga patsinga;n n n;n;;passinga papsinga patsinga qassinga qapsinga qatsinga;n n n son son son;n n n son son son;;;?
vaanga;tv;dec;sp;3;p;1;s;vaanga;n;n;;paanga;a;a;;paanga;n;n;;paanga qaanga;n son;n son;;;?
vaptigit;tv;dec;sp;1;p;2;s;vaptigit;n;n;;paptigit;a;a;;paptigit;n;n;;paptigit qaptigit;n son;n n son son;;;?
vaatit;tv;dec;sp;3;p;2;s;vaatit;n;n;;paatit;a;a;;paatit;n;n;;paatit qaatit;n son;n son;;;?
vavut;tv;dec;sp;1;p;3;s;vavut;n;n;;pavut;a;a;;pavut;n;n;;pavut qavut;n son;n son;;;?
vasi;tv;dec;sp;2;p;3;s;vasi;n;n;;pasi;a;a;;pasi;n;n;;pasi qasi;n son;n son;;;?
vangat;tv;dec;sp;3;p;3;s;vangat vaat;n n;n;;pangat paat;a a;a;;pangat paat;n n;n;;pangat paat qangat qaat;n n son son;n n son son;;;?
vattiguk;tv;dec;sp;2;p;1;d;vattiguk;n;n;;pattiguk;a;a;;pattiguk;n;n;;pattiguk qattiguk;n son;n son;;;?
vaatiguk;tv;dec;sp;3;p;1;d;vaatiguk;n;n;;paatiguk;a;a;;paatiguk;n;n;;paatiguk qaatiguk;n son;n son;;;?
vassik;tv;dec;sp;1;p;2;d;vassik;n;n;;passik;a;a;;passik;n;n;;passik qassik;n son;n son;;;?
vaasik;tv;dec;sp;3;p;2;d;vaasik vaatik;n n;n;;paasik paatik;a a;a;;paasik paatik;n n;n;;paasik paatik qaasik qaatik;n n son son;n n son son;;;?
vaavut;tv;dec;sp;1;p;3;d;vaavut;n;n;;paavut;a;a;;paavut;n;n;;paavut qaavut;n son;n son;;;?
vaassi;tv;dec;sp;2;p;3;d;vaassi;n;n;;paassi;a;a;;paassi;n;n;;paassi qaassi;n son;n son;;;?
vaangik;tv;dec;sp;3;p;3;d;vaangik;n;n;;paangik;a;a;;paangik;n;n;;paangik qaangik;n son;n son;;;?
vaptigut;tv;dec;sp;2;p;1;p;vaptigut;n;n;;paptigut;a;a;;paptigut;n;n;;paptigut qaptigut;n son;n n son son;;;?
vaatigut;tv;dec;sp;3;p;1;p;vaatigut;n;n;;paatigut;a;a;;paatigut;n;n;;paatigut qaatigut;n son;n son;;;?
vapsi;tv;dec;sp;1;p;2;p;vapsi;n ;n;;papsi;a;a;;papsi;n;n;;papsi qapsi;n son;n n son son;;;?
vaasi;tv;dec;sp;3;p;2;p;vaasi;n;n;;paasi;a;a;;paasi;n;n;;paasi qaasi;n son;n son;;;?
vavut;tv;dec;sp;1;p;3;p;vavut;n;n;;pavut;a;a;;pavut;n;n;;pavut qavut;n son;n son;;;?
vasi;tv;dec;sp;2;p;3;p;vasi;n;n;;pasi;a;a;;pasi;n;n;;pasi qasi;n son;n son;;;?
vangit;tv;dec;sp;3;p;3;p;vangit vait;n n;n;;pangit pait;a a;a;;pangit pait;n n;n;;pangit pait qangit qait;n n son son;n n son son;;;?
vittiguk;tv;int;sp;2;s;1;d;vittiguk vittikkuk;n n;n;;pittiguk pittikkuk;n n;n;;pittiguk pittikkuk;n n;n;;pittiguk pittikkuk qittiguk qittikkuk;n n son son;n n son son;;;?
vaatiguk;tv;int;sp;3;s;1;d;vaatiguk;n;n;;paatiguk;n;n;;paatiguk;n;n;;paatiguk qaatiguk;n son;n son;;;?
vassik;tv;int;sp;1;s;2;d;vassik;n;n;;passik;n;n;;passik;n;n;;passik qassik;n son;n son;;;?
vaatik;tv;int;sp;3;s;2;d;vaatik;n;n;;paatik;n;n;;paatik;n;n;;paatik qaatik;n son;n son;;;?
vaakka;tv;int;sp;1;s;3;d;vaakka;n;n;;paakka;n;n;;paakka;n;n;;paakka qaakka;n son;n son;;;?
vigik;tv;int;sp;2;s;3;d;vigik;n;n;;pigik;n;n;;pigik;n;n;;pigik qigik;n son;n son;;;?
vagik;tv;int;sp;3;s;3;d;vagik vakkik;n n;n;;pagik pakkik;n n;n;;pagik pakkik;n n;n;;pagik pakkik qagik qakkik;n n son son;n n son son;;;?
vittigut;tv;int;sp;2;s;1;p;vittigut;n;n;;pittigut;n;n;;pittigut;n;n;;pittigut qittigut;n son;n son;;;?
vaatigut;tv;int;sp;3;s;1;p;vaatigut;n;n;;paatigut;n;n;;paatigut;n;n;;paatigut qaatigut;n son;n son;;;?
vassi;tv;int;sp;1;s;2;p;vassi;n;n;;passi;n;n;;passi;n;n;;passi qassi;n son;n son;;;?
vaasi;tv;int;sp;3;s;2;p;vaasi;n;n;;paasi;n;n;;paasi;n;n;;paasi qaasi;n son;n son;;;?
vakka;tv;int;sp;1;s;3;p;vakka;n;n;;pakka;n;n;;pakka;n;n;;pakka qakka;n son;n son;;;?
vigit;tv;int;sp;2;s;3;p;vigit;n;n;;pigit;n;n;;pigit;n;n;;pigit qigit;n son;n son;;;?
vagit;tv;int;sp;3;s;3;p;vagit;n;n;;pagit;n;n;;pagit;n;n;;pagit qagit;n son;n son;;;?
vittinga;tv;int;sp;2;d;1;s;vittinga;n;n;;pittinga;n;n;;pittinga;n;n;;pittinga qittinga;n son;n son;;;?
vaanga;tv;int;sp;3;d;1;s;vaanga;n;n;;paanga;n;n;;paanga;n;n;;paanga qaanga;n son;n son;;;?
vittigit;tv;int;sp;1;d;2;s;vittigit;n;n;;pittigit;n;n;;pittigit;n;n;;pittigit qittigit;n son;n son;;;?
vaatit;tv;int;sp;3;d;2;s;vaatit;n;n;;paatit;n;n;;paatit;n;n;;paatit qaatit;n son;n son;;;?
vittigu;tv;int;sp;1;d;3;s;vittigu;n;n;;pittigu;n;n;;pittigu;n;n;;pittigu qittigu;n son;n son;;;?
vittikku;tv;int;sp;2;d;3;s;vittikku;n;n;;pittikku;n;n;;pittikku;n;n;;pittikku qittikku;n son;n son;;;?
vaak;tv;int;sp;3;d;3;s;vaak;n;n;;paak;n;n;;paak;n;n;;paak qaak;n son;n son;;;?
vittiguk;tv;int;sp;2;d;1;d;vittiguk;n;n;;pittiguk;n;n;;pittiguk;n;n;;pittiguk qittiguk;n son;n son;;;?
vittiguk;tv;int;sp;3;d;1;d;vittiguk vaatiguk;n n;n;;pittiguk paatiguk;n n;n;;pittiguk paatiguk;n n;n;;pittiguk paatiguk qittiguk qaatiguk;n n son son;n n son son;;;?
vassik;tv;int;sp;1;d;2;d;vassik;n;n;;passik;n;n;;passik;n;n;;passik qassik;n son;n son;;;?
vaatik;tv;int;sp;3;d;2;d;vaatik;n;n;;paatik;n;n;;paatik;n;n;;paatik qaatik;n son;n son;;;?
vittigik;tv;int;sp;1;d;3;d;vittigik;n;n;;pittigik;n;n;;pittigik;n;n;;pittigik qittigik;n son;n son;;;?
vittikkik;tv;int;sp;2;d;3;d;vittikkik;n;n;;pittikkik;n;n;;pittikkik;n;n;;pittikkik qittikkik;n son;n son;;;?
vakkik;tv;int;sp;3;d;3;d;vakkik;n;n;;pakkik;n;n;;pakkik;n;n;;pakkik qakkik;n son;n son;;;?
vittigut;tv;int;sp;2;d;1;p;vittigut;n;n;;pittigut;n;n;;pittigut;n;n;;pittigut qittigut;n son;n son;;;?
