morpheme;key;type;function;position;transitivity;nature;plural;antipassive;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;engMean;freMean;condPrec;condPrecTrans;condOnNext;sources;composition;dialect;mobility
niaq;2;sv;vv;m;n;;;;niaq;n;n;;niaq;nas;nas;;niaq;nas;nas;;niaq;nas;nas;;future, today;futur, aujourd'hui;;;;H1;;;m
niaq;1;sn;nv;m;i;t;;;niaq niaq;n i(n);n i(n);;niaq;nas;nas;;niaq;nas;nas;;niaq;nas;nas;;to study;;;;;;;;
niaqqau;1;sv;vv;m;t;;;;niaqqau;n;n;;niaqqau;nas;nas;;niaqqau;nas;nas;;niaqqau;nas;nas;;was/were just going to';;;;;;;;
niaqtaksari;1;sv;vv;m;t;;;;niaqtaksari;n;n;;niaqtaksari;nas;nas;;niaqtaksari;nas;nas;;niaqtaksari;nas;nas;;future likelihood or probability: 'will more than likely... ;;;;;;;;
niq;2;sv;vn;t;;;;;niq;n;n;;niq niq;nas s;nas s;;niq;nas;nas;;niq;nas;nas;;noun abstraction of the verb's action;nom abstrait de l'action du verbe;;;;H1 A1;;;m
niq;1;sv;vv;m;n;;;;niq;i(n);i(n);;niq;nas;nas;;niq;nas;nas;;niq;nas;nas;;unperceived past with pure verbal forms;passé non perçu avec formes verbales pures;;;;H1;;;m
niqpaq;1;sv;vn;t;;;;;niqpaq niqpaaq;n n;n;;niqpaq niqpaaq;nas nas;nas;;niqpaq niqpaaq;nas nas;nas;;niqpaq niqpaaq;nas nas;nas;;superlative;superlatif;;;;H1;;;m
niqsaq;1;sv;vn;t;;;;;niqsaq;n;n;;niqsaq;nas;nas;;niqsaq;nas;nas;;niqsaq;nas;nas;;comparaison;comparaison;;;;H1;;;m
niraq;1;sv;vv;m;t;;;i/1vv;niraq;n;n;;niraq;nas;nas;;niraq;nas;nas;;niraq;nas;nas;;reporting action;;;;;;;;
nitaq;1;sn;nn;t;;;;;nitaq;n;n;;nitaq nitaq;s n;s n;;nitaq nitaq;s n;s n;;nitaq nitaq;s n;s n;;from a certain time;d'il y a longtemps;;;;;;;m
niujaq;1;sv;vv;m;n;;;;niujaq niujaaq;n n;n;;niujaq niujaaq;s a;s a;;niujaq niujaaq;s s;s;;niujaq niujaaq;s s;s;;imminent action: 'to be about to...';;;;;;;;
niusau;1;sv;vv;m;n;;;;niusau;n;n;;niusau;s;s;;niusau;s;s;;niusau;s;s;;imminent action: 'to be about to...';action imminente: 'être sur le point de';;;;H1;;Cumberland;m
