morpheme,type,mode,specificity,perSubject,numbSubject,perObject,numbObject,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrecSpecific,sources
vagit,tv,int,sp,3,s,3,p,,n,,pagit,n,,pagit,n,,pagit qagit,n son,,,?
vittinga,tv,int,sp,2,d,1,s,,n,,pittinga,n,,pittinga,n,,pittinga qittinga,n son,,,?
vaanga,tv,int,sp,3,d,1,s,,n,,paanga,n,,paanga,n,,paanga qaanga,n son,,,?
vittigit,tv,int,sp,1,d,2,s,,n,,pittigit,n,,pittigit,n,,pittigit qittigit,n son,,,?
vaatit,tv,int,sp,3,d,2,s,,n,,paatit,n,,paatit,n,,paatit qaatit,n son,,,?
vittigu,tv,int,sp,1,d,3,s,,n,,pittigu,n,,pittigu,n,,pittigu qittigu,n son,,,?
vittikku,tv,int,sp,2,d,3,s,,n,,pittikku,n,,pittikku,n,,pittikku qittikku,n son,,,?
vaak,tv,int,sp,3,d,3,s,,n,,paak,n,,paak,n,,paak qaak,n son,,,?
vittiguk,tv,int,sp,2,d,1,d,,n,,pittiguk,n,,pittiguk,n,,pittiguk qittiguk,n son,,,?
vittiguk,tv,int,sp,3,d,1,d,vaatiguk,n,,pittiguk paatiguk,n,,pittiguk paatiguk,n,,pittiguk paatiguk qittiguk qaatiguk,n n son son,,,?
vassik,tv,int,sp,1,d,2,d,,n,,passik,n,,passik,n,,passik qassik,n son,,,?
vaatik,tv,int,sp,3,d,2,d,,n,,paatik,n,,paatik,n,,paatik qaatik,n son,,,?
vittigik,tv,int,sp,1,d,3,d,,n,,pittigik,n,,pittigik,n,,pittigik qittigik,n son,,,?
vittikkik,tv,int,sp,2,d,3,d,,n,,pittikkik,n,,pittikkik,n,,pittikkik qittikkik,n son,,,?
vakkik,tv,int,sp,3,d,3,d,,n,,pakkik,n,,pakkik,n,,pakkik qakkik,n son,,,?
vittigut,tv,int,sp,2,d,1,p,,n,,pittigut,n,,pittigut,n,,pittigut qittigut,n son,,,?
vittigut,tv,int,sp,3,d,1,p,vaatigut,n,,pittigut paatigut,n,,pittigut paatigut,n,,pittigut paatigut qittigut qaatigut,n n son son,,,?
vassi,tv,int,sp,1,d,2,p,,n,,passi,n,,passi,n,,passi qassi,n son,,,?
vaasi,tv,int,sp,3,d,2,p,,n,,paasi,n,,paasi,n,,paasi qaasi,n son,,,?
vittigit,tv,int,sp,1,d,3,p,,n,,pittigit,n,,pittigit,n,,pittigit qittigit,n son,,,?
