morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,intransSuffix,transSuffix,antipassive,engMean,freMean,combination,dialect,root,rootType,rootNb,END
anarviut,,,n,,,,,,,,receptable beneath stone lamp to catch oil drips,réceptacle sous une lampe de pierre pour recevoir les gouttes d'huile,,,anaq,,,.
anautaq,,,n,,,,,,,,bat; snow-beater,bâton; batteur à neighe,,,anau,v,1,.
angajuqqaaq,,,n,,,,,,,,"boss, chief; parent","patron, chef; parent",,,,,,.
anginnaktuq,,,n,,,,,,,,microscope,microscope,,,angi,,,.
angmajuq,,1,n,,,,,,,,puncture; rip; hoe which has been punctured or gashed,perforation; déchirure; trou causé par une perforation ou une déchirure,,,angmaq,v,1,.
angmaluqitaq,,,n,,,,,,,,circle; oval,cercle; ovale,,,angmaluq,,,.
angmartirut,,,n,,,,,,,,punch; primus-stove needle; nasal drops; etc.,perçoir; aiguille d'un réchaud de camping; gouttes nasales; etc.,,,angmaq,,,.
angmaturaq,,,n,,,,,,,,hold of a ship,cale d'un navire,,,angmaq,,,.
angujjuaq,,,n,,,,,,,,male bear when with family,ours mâle avec une famille,,,angu,,,.
angunasuk,,,v,i,,,,,,,to go hunting,aller chasser,,,angu,,,.
angusuq,,,v,i,,,,,,,to be a good hunter,être un bon chasseur,,,angu,,,.
angutaq,,,n,,,,,,,,father,père,,,angut,,,.
angutiqati,,,n,,,,,,,,paternal cousin,cousin paternel,,,angut,,,.
angutiviaq,,,n,,zoo,,,,,,cock; male bird,coq; oiseau mâle,,,angut,,,.
anguut,,,n,,,,,,,,marine propeller; boat propeller,hélice de bateau,,,anguaq,,,.
anguvigaq,,1,n,,,,,,,,large harpoon for hunting walrus,grand harpon pour chasser le morse,,,angu,,,.
aniksaq,,,n,,,,,,,,maternal cousin,cousin maternel,,,ani,n,1,.
anirnialuk,,,n,,,,,,,,Holy Ghost,Saint Esprit,,,aniq,v,1,.
anirniq,,,n,,,,,,,,(1) breath; expiration (2) spirit or ghost,(1) respiration; expiration (2) esprit ou fantôme,,,aniq,v,1,.
aniuksaq,,,n,,,,,,,,snow used to drink water,neige utilisée pour boire de l'eau,,,aniuk,n,1,.
aniuvak,,,n,,,,,,,,snow lying on slopes of hills,neige reposant sur la pente des collines,,,aniuk,,,.
anivvik,,,n,,,,,,,,time or place of birth,temps ou lieu de naissance,,,ani,v,1,.
annai,,,v,i,,,,,,,for a hunter to loose his quarry,"en parlant d'un chasseur, perdre sa proie",,,annak,v,1,.
anullaq,,,v,i,a,,,,,,to be solemn; grim-faced,être grave; avoir un air sévère,,,anut,v,1,.
anullarsivik,,1,n,,,,,,,,prison,prison,,,anut,v,1,.
apak&iq,,,n,,zoo,,,,,,dog furthest to rear in harnessed team; dog (usually greenhorn) closest to driver,"chien le plus à l'arrière dans un attelage; chien le plus près du conducteur (généralement un ""greenhorn"")",,,?,,,.
apiri,,,v,i,,,,,nil,,to ask someone a question,poser une question à quelqu'un,,,apiq,v,1,.
apirsukkaq,,,n,,,,,,,,inquisitive person,personne inquisitrice,,,apiq,v,1,.
apirsurut,,,n,,,,,,,,questionnaire,questionnaire,,,apiq,v,1,.
apirsuut,,,n,,,,,,,,questionnaire,questionnaire,,,apiq,v,1,.
apurtiniq,,,n,,,,,,,,rocks or pebbles along shore piled or formed by the action of ice or waves,roches ou caillous sur la grève amassés par l'action de la glace ou des vagues,,,apuq,,,.
apurtuk,,,n,,,,,,,,"two things that meet up with one another, that come up against or up flush with one another","deux choses qui se rencontrent, qui entrent en contact, en collision l'une avec l'autre",,,apuq,,,.
aqiarunnguaq,,,n,,,,,,,,carburetor,carburateur,,,?,,,.
aqiaruq,,,n,,,,,,,,stomach; ruminant's fourth stomach,estomac; quatrième estomac d'un ruminant,,,?,,,.
aqiaviniq,,,n,,,,,,,,abdomen,abdomen,,,?,,,.
aqiggirjuaq,,,n,,zoo,,,,,,Europen domestic chicken,poulet domestique européen,,,aqiggiq,n,1,.
aqiggivik,,,n,,zoo,,,,,,willow ptarmigan,lagopède des saules,,,aqiggiq,n,1,.
aqilluqqaaq,,,n,,,,,,,,new soft snow,nouvelle neige molle,,,aqit,,,.
aqiqqujuaksaq,,,n,,,,,,,,flour,farine,,wchb,aqiqquq,,,.
aqiqqujuaq,,,n,,,,,,,,bread,pain,,wchb,aqiqquq,,,.
aqittuujaaq,,,n,,,,,,,,rolled oats,avoine roulé,,northbaffin,aqit,,,.
aqqarusiq,,1,n,,,,,,,,caribou's second stomach,deuxième estomac du caribou,,,?,,,.
aqqaumasuuq,,,n,,,,,,,,submarine,sousmarin,,,aqqaq,,,.
aqupi,,1,v,i,,,,,,,to lie down in crouch position,être accroupi,,,?,,,.
aqut,,,v,i,,,,,,,to steer a boat,gouverner un bateau,,baffin ungava,aqu,,,.
aquti,,,n,,,,,,,,steersman; helmsman,timonier; homme de barre,,,aqu,,,.
arjaksaq,,,n,,,,,,,,coal,charbon,,wchb,arjaq,,,.
arjaliniq,,,n,,,,,,,,ash,cendre,,wchb,arjaq,,,.
arjaliniusibvik,,,n,,,,,,,,ash tray; ash can,cendrier,,wchb,arjaq,,,.
arnalluq,,,n,,zoo,,,,,,bitch (female dog); female fish,chienne (chien femelle); poisson femelle,arnaq/1n+lluq,,arnaq,,,.
arnaqati,,,n,,,,,,,,maternal cousin,cousin maternel,,,arnaq,,,.
arnaqquaksaq,,,n,,,,,,,,"(1) old woman (2) the queen, in playing card suite","(1) vieille femme (2) la reine, dans une suite de jeu de carte",,,arnaq,,,.
arnarsiri,,,v,i,,,,,,,to chase after girls,courir après les filles,,,arnaq,,,.
arnarvik,,,n,,,,,,,,maternal aunt,tante maternelle,,,arnaq,,,.
